Security,Name,Sector,INDUSTRY,Year,Quarter,Index,Closing Stock Price,SP Volatility,MC RAW,Log MCap,PB RAW,Book to Mkt,ROA,Total Assets,Asset Growth,ESGCombinedScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore,ESG Momentum,ESG Mom-Env,ESG Mom - Gov,ESG Mom - Social
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2019,Q2,2019-Q2,1.63,0.58465802,304664672,19.53472229,0.306517988,3.262451268,0.068337001,1799.581952,0.016025826,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2019,Q3,2019-Q3,2.15,0.584087608,401858336,19.81161019,0.227314994,4.399181873,1.144248962,1766.26496,-0.01851374,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2019,Q4,2019-Q4,2.75,0.143149106,514004832,20.05774322,0.305478007,3.273558091,0.106650002,1767.540992,0.000722447,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2020,Q1,2020-Q1,1.43,0.333703961,267282512,19.40381675,0.390552014,2.56047841,-1.375064015,1818.454016,0.028804437,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2020,Q2,2020-Q2,1.66,1.587353668,311375072,19.55650876,0.254079998,3.9357683,-17.42818451,1549.934976,-0.147663365,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2020,Q3,2020-Q3,1.75,2.215979843,328256864,19.60930698,0.302033007,3.310896413,-19.06024361,1542.611968,-0.004724719,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2020,Q4,2020-Q4,1.71,2.183590316,320753824,19.58618448,0.324645996,3.080278248,-18.76477814,1537.405952,-0.003374806,,,,,,,,
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2021,Q1,2021-Q1,2.37,1.546145746,445827328,19.91544228,0.309253007,3.233598306,-16.94696808,1533.709056,-0.002404632,0.328016264,0.274238387,0.512373225,0.268867063,0.328016264,0.274238387,0.512373225,0.268867063
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2021,Q2,2021-Q2,5.06,0.977172793,965594624,20.68825466,0.428126007,2.335760928,-1.150825024,1569.739008,0.023492038,0.328016264,0.274238387,0.512373225,0.268867063,0.328016264,0.274238387,0.512373225,0.268867063
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2021,Q3,2021-Q3,6.4,1.084200935,1221305472,20.92318618,0.918685019,1.088512362,0.694359004,1586.027008,0.010376247,0.328016264,0.274238387,0.512373225,0.268867063,0.328016264,0.274238387,0.512373225,0.268867063
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2021,Q4,2021-Q4,7.41,0.849877442,1414042752,21.06971864,1.114338994,0.897392988,4.814176083,1605.645056,0.012369303,0.328016264,0.274238387,0.512373225,0.268867063,0.328016264,0.274238387,0.512373225,0.268867063
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2022,Q1,2022-Q1,8.71,1.056073703,1662120320,21.23135993,0.969992995,1.03093528,23.32434654,1994.989952,0.242485034,0.410356286,0.285299173,0.56397363,0.427066429,0.082340022,0.011060785,0.051600405,0.158199366
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2022,Q2,2022-Q2,8,0.934433875,1515478144,21.13899683,1.123548985,0.890036851,23.89566231,2042.020992,0.023574575,0.410356286,0.285299173,0.56397363,0.427066429,0.082340022,0.011060785,0.051600405,0.158199366
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2022,Q3,2022-Q3,9.93,0.746636904,1853482880,21.34033234,0.947946012,1.054912397,31.26562881,2169.76512,0.062557696,0.410356286,0.285299173,0.56397363,0.427066429,0.082340022,0.011060785,0.051600405,0.158199366
AAV CN EQUITY,Advantage Energy Ltd,Energy,Natural Resources,2022,Q4,2022-Q4,9.47,0.598748695,1630605312,21.21221714,1.157093048,0.864234732,30.75785255,2196.57088,0.012354222,0.410356286,0.285299173,0.56397363,0.427066429,0.082340022,0.011060785,0.051600405,0.158199366
